phi1,phi2,phi3,theta1,theta2,theta3,result
298,315,7,253,313,168,-1.3983341916462555
296,315,7,253,313,168,-1.1774448949533105
294,315,7,253,313,168,-0.9555615054244029
292,315,7,253,313,168,-0.7333686722157808
290,315,7,253,313,168,-0.5115519993111648
288,315,7,253,313,168,-0.2907959300042595
286,315,7,253,313,168,-0.07178163496273027
284,315,7,253,313,168,0.14481508960972067
282,315,7,253,313,168,0.35832590722769786
280,315,7,253,313,168,0.5680920033605346
278,315,7,253,313,168,0.7734661182875617
278,315,7,251,313,168,0.975506228274128
278,315,7,249,313,168,1.1823689406835889
278,315,7,247,313,168,1.3934159545515876
278,315,7,245,313,168,1.6079960577243737
278,315,7,243,313,168,1.8254471362559792
278,315,7,241,313,168,2.0450982174442127
278,315,7,239,313,168,2.266271540201481
278,315,7,237,313,168,2.4882846463720254
278,315,7,235,313,168,2.710452486542541
278,315,7,233,313,168,2.932089533848479
278,315,7,231,313,168,3.152511899253553
278,315,7,229,313,168,3.371039441775538
278,315,7,227,313,168,3.5869978671469553
278,315,7,225,313,168,3.7997208084350222
278,315,7,223,313,168,4.00855188220077
278,315,7,221,313,168,4.212846713852851
276,315,7,221,313,168,4.413195139864808
276,315,7,219,313,168,4.612323351958507
274,315,7,219,313,168,4.80702788874253
274,315,7,217,313,168,5.000375046088767
272,315,7,217,313,168,5.188834908263344
272,315,7,215,313,168,5.375804413845904
270,315,7,215,313,168,5.557438084759882
270,315,7,213,313,168,5.737453020610664
268,315,7,213,313,168,5.911700046686139
268,315,7,211,313,168,6.084204954038242
266,315,7,211,313,168,6.250527674120697
266,315,7,209,313,168,6.414990267346431
264,315,7,209,313,168,6.572875471725972
264,315,7,207,313,168,6.728788280771241
262,315,7,207,313,168,6.877748794755819
262,315,7,205,313,168,7.024630731002908
260,315,7,205,313,168,7.164206918157227
260,315,7,203,313,168,7.301604758884354
260,315,7,203,311,168,7.437777454321637
258,315,7,203,311,168,7.567538634733282
258,315,7,201,311,168,7.695028421590413
258,315,7,201,309,168,7.821031561686862
256,315,7,201,309,168,7.940577340883442
256,315,7,199,309,168,8.057765688069187
256,313,7,199,309,168,8.173970878707575
256,311,7,199,309,168,8.295982189413591
256,309,7,199,309,168,8.423268170399218
256,307,7,199,309,168,8.555281096216673
256,305,7,199,309,168,8.69145865583429
256,303,7,199,309,168,8.831225687718048
256,301,7,199,309,168,8.973995954564975
256,299,7,199,309,168,9.119173952212202
256,297,7,199,309,168,9.266156747140098
256,295,7,199,309,168,9.41433583689961
256,293,7,199,309,168,9.563099027723249
256,291,7,199,309,168,9.711832323526094
256,289,7,199,309,168,9.859921820468076
256,287,7,199,309,168,10.00675560123163
256,285,7,199,309,168,10.151725623169687
256,283,7,199,309,168,10.294229594497873
256,281,7,199,309,168,10.433672832741689
256,279,7,199,309,168,10.569470099704242
256,277,7,199,309,168,10.70104740729242
256,275,7,199,309,168,10.827843788629488
256,273,7,199,309,168,10.949313028989073
256,271,7,199,309,168,11.064925351209508
256,269,7,199,309,168,11.174169050388045
254,269,7,199,309,168,11.283130554804773
254,269,7,197,309,168,11.389655862907873
254,267,7,197,309,168,11.492038885330613
252,267,7,197,309,168,11.590079900516193
252,267,7,195,309,168,11.685613472276037
252,265,7,195,309,168,11.780664933711682
252,263,7,195,309,168,11.867936572384144
250,263,7,195,309,168,11.954754580432805
250,263,7,193,309,168,12.03900163497626
250,261,7,193,309,168,12.11806919473287
248,261,7,193,309,168,12.193396307741493
248,261,7,191,309,168,12.266096890166422
248,259,7,191,309,168,12.336561429573742
246,259,7,191,309,168,12.40016521624373
246,257,7,191,309,168,12.461654339571611
246,257,7,189,309,168,12.522584123070486
246,255,7,189,309,168,12.574753129366014
244,255,7,189,309,168,12.626437332199362
244,255,7,187,309,168,12.675408310247894
244,253,7,187,309,168,12.717941256953617
242,253,7,187,309,168,12.757546397830144
242,253,7,185,309,168,12.794407464305095
242,251,7,185,309,168,12.827018142139597
242,251,9,185,309,168,12.858996589056263
242,251,11,185,309,168,12.930407122692882
242,251,13,185,309,168,13.022508997293274
242,251,15,185,309,168,13.111311229888575
242,251,17,185,309,168,13.173921293711153
240,251,17,185,309,168,13.201325165978337
240,251,17,183,309,168,13.225962581414514
240,249,17,183,309,168,13.248395397507208
240,249,19,183,309,168,13.268733649138289
238,249,19,183,309,168,13.283851694695292
238,249,19,181,309,168,13.296189437242989
238,247,19,181,309,168,13.30822020379813
238,247,19,181,311,168,13.314675177622158
238,245,19,181,311,168,13.318309016041946
238,245,19,181,313,168,13.322064749657873
236,245,19,181,313,168,13.324850319870219
236,245,19,181,313,166,13.3250788532202
236,245,19,181,313,166,13.3250788532202
236,245,19,181,313,166,13.3250788532202
236,245,19,181,313,166,13.3250788532202
236,245,19,181,313,166,13.3250788532202
236,245,19,181,313,166,13.3250788532202
236,245,19,181,313,166,13.3250788532202
236,245,19,181,313,166,13.3250788532202
236,245,19,181,313,166,13.3250788532202
236,245,19,181,313,166,13.3250788532202
