phi1,phi2,phi3,theta1,theta2,theta3,result
215,84,225,109,40,356,1.4313694675554887
215,84,225,129,40,356,3.6083751385349156
215,84,225,149,40,356,5.600674671359591
215,104,225,149,40,356,7.564812657484386
215,104,225,149,20,356,9.03087274372121
215,104,225,149,0,356,10.665046431933765
215,104,225,169,0,356,11.873386262053186
235,104,225,169,0,356,12.565126054759409
235,124,225,169,0,356,13.119221275569272
235,124,225,169,0,336,13.442510707265757
235,124,225,189,0,336,13.503440490764632
235,124,225,189,0,336,13.503440490764632
235,124,225,189,0,336,13.503440490764632
235,124,225,189,0,336,13.503440490764632
235,124,225,189,0,336,13.503440490764632
235,124,225,189,0,336,13.503440490764632
235,124,225,189,0,336,13.503440490764632
235,124,225,189,0,336,13.503440490764632
235,124,225,189,0,336,13.503440490764632
235,124,225,189,0,336,13.503440490764632
