phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
356,172,229,27,44,276,-5.452807835865126,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,271,-4.6245643164395815,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,266,-4.917943779148225,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,261,-5.475779137986518,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,256,-4.538704180143348,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,251,-4.13791559923888,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,246,-4.960134578698579,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,251,-4.13791559923888,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,246,-4.960134578698579,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,241,-5.0013725415536845,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,236,-3.728774940237628,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,229,27,44,231,-2.6961866597815547,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,224,27,44,231,-2.129627800910396,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,224,27,44,226,-2.6304704630632707,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,224,27,44,221,-3.4885841959384822,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,224,27,44,226,-2.6304704630632707,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,224,27,44,231,-2.129627800910396,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,224,27,44,226,-2.6304704630632707,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,224,27,44,221,-3.4885841959384822,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
356,172,224,27,44,226,-2.6304704630632707,"(array([356, 172, 229]), array([ 27,  44, 261]), -5.475779137986518, 0.8122499999999999)"
