phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
53,153,331,340,318,69,-2.6184131388006366,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,64,-2.885235608504486,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,59,-2.6133914688381603,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,54,-2.850506704337288,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,49,-2.6529799318791993,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,44,-2.8252391647343504,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,49,-2.6529799318791993,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,44,-2.8252391647343504,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,39,-2.6575609871059016,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,44,-2.8252391647343504,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,49,-2.6529799318791993,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,44,-2.8252391647343504,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,39,-2.6575609871059016,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,34,-2.839067923094085,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,331,340,318,29,-2.635050542099728,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,153,326,340,318,29,-2.7297589535124582,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,158,326,340,318,29,-2.209328590983034,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,158,331,340,318,29,-2.1146201795703035,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,158,331,340,318,24,-2.3316271783842715,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,163,331,340,318,24,-1.7688367029922605,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,168,331,340,318,24,-1.172464948645645,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,168,331,340,318,19,-0.9773750598861233,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,168,326,340,318,19,-0.9683065041367194,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,168,331,340,318,19,-0.9773750598861233,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,168,331,340,318,14,-1.093772219736017,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
53,168,331,340,318,19,-0.9773750598861233,"(array([ 53, 153, 331]), array([340, 318,  54]), -2.850506704337288, 0.8122499999999999)"
