phi1,phi2,phi3,theta1,theta2,theta3,result
199,100,111,289,241,296,-3.6547515819781946
199,100,111,289,241,294,-3.3728391772521387
201,100,111,289,241,294,-3.1840617757337193
203,100,111,289,241,294,-3.0020827376900514
205,100,111,289,241,294,-2.8274635823728382
205,100,111,289,239,294,-2.6604106221175203
205,100,111,289,237,294,-2.492891115521492
205,100,111,289,235,294,-2.325285645592148
205,100,111,289,233,294,-2.1579750605875683
207,100,111,289,233,294,-1.9912545974029916
207,100,111,289,231,294,-1.8246188356766697
207,100,111,289,229,294,-1.6590357533298419
207,100,111,289,227,294,-1.494879958288885
207,100,111,289,225,294,-1.3325216544053453
207,100,111,289,223,294,-1.172325499145317
209,100,111,289,223,294,-1.014018165089729
209,100,111,289,221,294,-0.8563421443372916
209,100,111,289,219,294,-0.7015364677839562
209,100,111,289,217,294,-0.5499424883125442
211,100,111,289,217,294,-0.4005367606122955
211,100,111,289,215,294,-0.252485921009593
211,100,111,289,213,294,-0.10829873125787892
213,100,111,289,213,294,0.03174437988871692
213,100,111,289,211,294,0.17175933158561063
213,100,111,289,209,294,0.30730633099007587
213,100,111,289,207,294,0.4381034502942831
215,100,111,289,207,294,0.5683518242219949
215,100,111,289,205,294,0.6941317919716579
215,100,111,289,203,294,0.8146428177657863
217,100,111,289,203,294,0.9346945567052409
217,100,111,289,201,294,1.0497011081271497
219,100,111,289,201,294,1.159185777311028
219,100,111,289,199,294,1.268469306693279
219,100,111,289,197,294,1.3718289254740599
221,100,111,289,197,294,1.4704086961602538
221,100,111,289,195,294,1.5676617947503362
221,100,111,289,193,294,1.6586446059979814
223,100,111,289,193,294,1.746015297882737
223,100,111,289,191,294,1.8305834023978662
223,100,111,289,191,292,1.9087611411332719
223,100,111,289,189,292,1.9867899129117053
225,100,111,289,189,292,2.062681932716287
225,100,111,289,187,292,2.134066923688973
225,100,111,289,185,292,2.198724186009671
227,100,111,289,185,292,2.262903359344387
227,98,111,289,185,292,2.3227703343339954
227,96,111,289,185,292,2.3829631540052114
227,94,111,289,185,292,2.443465858759585
227,92,111,289,185,292,2.504261532809199
227,90,111,289,185,292,2.5653323563724593
227,88,111,289,185,292,2.626659660659279
227,86,111,289,185,292,2.6882239854759806
227,84,111,289,185,292,2.7500051392721767
227,82,111,289,185,292,2.8119822614443426
227,80,111,289,185,292,2.8741338867038375
227,78,111,289,185,292,2.936438011310756
227,76,111,289,185,292,2.9988721609692424
227,74,111,289,185,292,3.061413460174759
227,72,111,289,185,292,3.124038702799341
227,70,111,289,185,292,3.186724423697026
227,68,111,289,185,292,3.24944697110852
227,66,111,289,185,292,3.312182579641682
227,64,111,289,185,292,3.374907443602631
227,62,111,289,185,292,3.43759779045122
227,60,111,289,185,292,3.5002299541542
227,58,111,289,185,292,3.562780448209751
227,56,111,289,185,292,3.625226038118039
227,54,111,289,185,292,3.687543813074194
227,52,111,289,185,292,3.7497112566624873
227,50,111,289,185,292,3.811706316333568
227,48,111,289,185,292,3.873507471450381
227,46,111,289,185,292,3.935093799692807
227,44,111,289,185,292,3.9964450416161155
227,42,111,289,185,292,4.057541663164036
227,40,111,289,185,292,4.118364915943551
227,38,111,289,185,292,4.178896895075418
227,36,111,289,185,292,4.239120594441939
227,34,111,289,185,292,4.299019959161476
227,32,111,289,185,292,4.35857993512781
227,30,111,289,185,292,4.417786515461485
227,28,111,289,185,292,4.476626783729797
227,26,111,289,185,292,4.535088953802078
227,24,111,289,185,292,4.593162406217282
227,22,111,289,185,292,4.650837720951677
227,20,111,289,185,292,4.708106706485509
227,18,111,289,185,292,4.764962425078971
227,16,111,289,185,292,4.821399214179473
227,14,111,289,185,292,4.877412703894164
227,12,111,289,185,292,4.932999830473783
227,10,111,289,185,292,4.988158845766244
227,8,111,289,185,292,5.042889322610782
227,6,111,289,185,292,5.0971921561560105
227,4,111,289,185,292,5.151069561097827
227,2,111,289,185,292,5.204525064845687
227,0,111,289,185,292,5.257563496638345
229,0,111,289,185,292,5.309831790577134
231,0,111,289,185,292,5.350027924713111
231,0,111,287,185,292,5.38138389373774
231,0,111,285,185,292,5.424905758912899
231,0,111,283,185,292,5.480459228039726
231,0,111,281,185,292,5.547872883889353
231,0,111,279,185,292,5.626938713132366
231,0,111,277,185,292,5.717412748190141
231,0,111,275,185,292,5.8190158200275555
231,0,111,273,185,292,5.931434419564213
231,0,111,271,185,292,6.054321665046213
231,0,111,269,185,292,6.1872983723935215
231,0,111,267,185,292,6.329954225220219
