phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
198,320,99,239,207,4,-1.5748502296653393,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,239,207,0,-1.842119384928447,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,239,207,0,-1.842119384928447,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,239,207,0,-1.842119384928447,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,239,207,0,-1.842119384928447,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,239,212,0,-1.5421292535073656,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,239,212,0,-1.5421292535073656,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,239,212,5,-1.3364064312246515,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,239,217,5,-0.9892108203388413,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,234,217,5,-0.43410219501556313,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,99,234,217,10,-0.46487838597508474,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,104,234,217,10,-0.39053699629169947,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,104,229,217,10,0.15912227995907935,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,104,224,217,10,0.6927462453074734,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,104,219,217,10,1.200057764130091,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
198,320,104,214,217,10,1.671286455745375,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
203,320,104,214,217,10,2.13879972292011,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
203,320,104,209,217,10,2.5648701306622383,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,209,217,10,2.986446213657633,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,209,222,10,3.3723426137883434,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,209,227,10,3.7876897692458726,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,209,232,10,4.222670450059576,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,209,237,10,4.667089301556848,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,209,242,10,5.11056919806819,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,209,247,10,5.542751097384288,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,209,252,10,5.953493546941333,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,209,257,10,6.333067999418097,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
208,320,104,204,257,10,6.7057743760758735,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
213,320,104,204,257,10,7.073294084484702,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
213,320,104,204,262,10,7.412572261202121,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
213,320,104,199,262,10,7.724736604606706,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
218,320,104,199,262,10,8.031121827000584,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
218,320,104,199,267,10,8.321751520666924,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
218,320,104,194,267,10,8.567361815799718,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
223,320,104,194,267,10,8.806711838027832,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
223,320,104,194,272,10,9.041277769020745,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
223,320,104,189,272,10,9.215603774218156,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
223,320,104,189,277,10,9.387770402450943,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
228,320,104,189,277,10,9.555475550286431,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
228,315,104,189,277,10,9.72150206425168,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
228,310,104,189,277,10,9.917188419666378,"(array([198, 320,  99]), array([239, 207,   0]), -1.842119384928447, 0.7716375)"
