phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
175,141,244,216,137,188,3.607655741909636,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,244,216,137,183,3.7438016872406834,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,244,216,137,178,3.756315972174738,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,244,216,137,173,3.6444446170856883,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,239,216,137,173,4.562027360216337,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,239,216,137,168,4.304142789434836,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,239,216,137,163,3.90631507536608,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,239,216,137,168,4.304142789434836,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,234,216,137,168,5.360398081395174,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,234,216,137,163,4.94689683178753,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,229,216,137,163,6.153580242447818,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,224,216,137,163,7.435647652426178,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,219,216,137,163,8.714113988402923,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,214,216,137,163,9.930976462775387,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,209,216,137,163,11.05545290887514,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,204,216,137,163,12.086657333091583,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,199,216,137,163,13.048169048425844,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,199,216,137,158,14.379606437828064,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,194,216,137,158,15.67323527031597,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,189,216,137,158,16.7538631028689,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
175,141,184,216,137,158,17.464939621842895,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
180,141,184,216,137,158,18.01871077679136,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
185,141,184,216,137,158,18.572481931739823,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
190,141,184,216,137,158,19.115587933634266,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
195,141,184,216,137,158,19.63756903103586,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
200,141,184,216,137,158,20.12837231987882,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
205,141,184,216,137,158,20.578545353700118,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
205,141,184,211,137,158,21.02371620345184,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
210,141,184,211,137,158,21.42458903932723,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
210,141,184,206,137,158,21.819563265167652,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
215,141,184,206,137,158,22.163415439306988,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
215,141,184,201,137,158,22.50058617956891,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
220,141,184,201,137,158,22.780795396765253,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
220,141,184,196,137,158,23.05366903487422,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
225,141,184,196,137,158,23.26483870817674,"(array([175, 141, 244]), array([216, 137, 173]), 3.6444446170856883, 0.7716375)"
