phi1,phi2,phi3,theta1,theta2,theta3,result
258,259,339,295,218,214,-0.9454048119041304
258,259,339,295,220,214,-0.7926076805626197
258,259,339,295,222,214,-0.6368063823981455
258,259,339,295,224,214,-0.47834250820988816
258,259,339,295,226,214,-0.3175658645108333
258,259,339,295,228,214,-0.15483339415570946
258,259,339,295,230,214,0.009491925051171204
258,259,339,295,232,214,0.1750422003696535
258,259,339,295,234,214,0.3414457593031602
258,259,339,295,236,214,0.5083282964410015
258,259,339,295,238,214,0.6753140284248859
258,259,339,295,240,214,0.8420268534758236
258,259,339,295,242,214,1.0080915119035458
258,259,339,295,244,214,1.1731347440175788
258,259,339,295,246,214,1.3367864418670385
258,259,339,295,248,214,1.498680791255354
258,259,339,295,250,214,1.658457400506053
258,259,339,295,252,214,1.8157624124967082
258,259,339,295,254,214,1.9702495965296607
258,259,339,295,256,214,2.1215814166704696
258,259,339,295,258,214,2.2694300732575696
258,259,339,295,260,214,2.4134785143694195
258,259,339,295,262,214,2.553421414128173
258,259,339,295,264,214,2.688966114821132
258,259,339,295,266,214,2.819833529933004
258,259,339,295,268,214,2.9457590053025005
258,259,339,295,270,214,3.06649313574611
256,259,339,295,270,214,3.1860389149426878
256,259,339,295,272,214,3.3013483138257893
256,259,339,295,274,214,3.411016333206521
254,259,339,295,274,214,3.5199778376232493
254,259,339,295,276,214,3.623805236747032
252,259,339,295,276,214,3.7218462519326114
252,259,339,295,278,214,3.8196518120145995
252,259,337,295,278,214,3.9151278122625475
252,259,337,295,280,214,4.00674889566103
250,259,337,295,280,214,4.093566903709691
250,259,335,295,280,214,4.178938933642262
250,259,335,295,282,214,4.264231985697591
250,259,335,295,284,214,4.343072977688178
248,259,335,295,284,214,4.4184000906967995
248,259,335,295,286,214,4.490684902545358
248,259,335,295,288,214,4.556329644094529
246,259,335,295,288,214,4.619933430764519
246,259,335,295,290,214,4.678874700630516
246,259,333,295,290,214,4.734604088990765
246,259,333,295,292,214,4.786799170196333
244,259,333,295,292,214,4.838483373029681
244,259,333,295,294,214,4.883910364812716
244,257,333,295,294,214,4.92709436202331
244,257,333,295,296,214,4.967647239811597
242,257,333,295,296,214,5.007252380688125
242,255,333,295,296,214,5.043950489863707
242,255,333,295,298,214,5.079846359170218
242,253,333,295,298,214,5.109651449459675
242,253,333,295,300,214,5.141120252278987
240,253,333,295,300,214,5.168524124546171
240,253,333,295,302,214,5.193850628616885
240,251,333,295,302,214,5.218323752699855
240,251,333,295,304,214,5.239706102050207
240,251,333,297,304,214,5.257602074445655
240,251,333,299,304,214,5.287768096354632
240,251,333,301,304,214,5.33011108671554
240,251,333,303,304,214,5.384500390896299
240,251,333,305,304,214,5.450768183845672
240,251,333,307,304,214,5.528709987938605
240,251,333,309,304,214,5.618085303917703
240,251,333,311,304,214,5.7186183529840005
240,251,333,313,304,214,5.829998927747186
240,251,333,315,304,214,5.951883349409598
240,251,333,317,304,214,6.0838955282304505
240,251,333,319,304,214,6.225628123998128
240,251,333,321,304,214,6.376643802929725
240,251,333,323,304,214,6.536476587119545
240,251,333,325,304,214,6.704633292372644
240,251,333,327,304,214,6.880595049986783
240,251,333,329,304,214,7.063818907787227
240,251,333,331,304,214,7.253739505474068
240,251,333,333,304,214,7.449770819112669
240,251,333,335,304,214,7.651307969384361
240,251,333,337,304,214,7.857729088017795
240,251,333,339,304,214,8.068397236641847
240,251,333,341,304,214,8.282662372139223
240,251,333,343,304,214,8.499863352436405
240,251,333,345,304,214,8.719329976540804
240,251,333,347,304,214,8.940385052530411
240,251,333,349,304,214,9.16234648711476
240,251,333,351,304,214,9.384529390319747
240,251,333,353,304,214,9.606248188801928
240,251,333,355,304,214,9.826818741271461
240,251,333,357,304,214,10.045560449496257
240,251,333,359,304,214,10.261798358373584
240,251,333,360,304,214,10.368769520620747
240,249,333,360,304,214,10.385581732248935
240,249,333,360,306,214,10.40328377967669
238,249,333,360,306,214,10.418401825233694
238,249,331,360,306,214,10.43178007986908
238,249,331,360,308,214,10.443943813346486
238,247,331,360,308,214,10.454851711048597
238,247,331,360,310,214,10.463885357238407
238,247,331,360,312,214,10.467797748809335
238,245,331,360,312,214,10.472586978542854
236,245,331,360,312,214,10.4753725487552
236,245,331,360,314,214,10.476737304754948
236,245,331,360,314,214,10.476737304754948
236,245,331,360,314,214,10.476737304754948
236,245,331,360,314,214,10.476737304754948
236,245,331,360,314,214,10.476737304754948
236,245,331,360,314,214,10.476737304754948
236,245,331,360,314,214,10.476737304754948
236,245,331,360,314,214,10.476737304754948
236,245,331,360,314,214,10.476737304754948
236,245,331,360,314,214,10.476737304754948
