phi1,phi2,phi3,theta1,theta2,theta3,result
28,191,238,273,59,51,-0.646615822187095
28,191,238,273,59,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e91b8>>
33,191,238,273,59,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d174bc20>>
33,191,238,273,59,61,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9200>>
33,191,238,268,59,61,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9320>>
33,191,238,268,54,61,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e57a0>>
33,191,238,268,54,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9638>>
28,191,238,268,54,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d174bc68>>
28,191,238,268,59,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9440>>
28,191,243,268,59,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9560>>
28,191,243,263,59,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9368>>
28,191,243,258,59,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e5bd8>>
23,191,243,258,59,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9290>>
23,191,238,258,59,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9710>>
23,191,238,258,64,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9518>>
23,196,238,258,64,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e5e18>>
23,196,238,258,69,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e95a8>>
23,196,238,253,69,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e5cb0>>
23,196,243,253,69,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e97e8>>
28,196,243,253,69,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d174bdd0>>
33,196,243,253,69,56,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9248>>
33,196,243,253,69,61,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e99e0>>
33,196,243,253,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9a28>>
33,201,243,253,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e95f0>>
28,201,243,253,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e93b0>>
23,201,243,253,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e5ab8>>
23,201,243,248,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e94d0>>
23,201,248,248,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9a70>>
23,201,243,248,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9b48>>
28,201,243,248,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e5a70>>
28,201,243,248,64,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9998>>
28,201,243,248,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9950>>
33,201,243,248,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e92d8>>
33,201,243,248,74,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9b00>>
33,201,238,248,74,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9cf8>>
33,201,243,248,74,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9cb0>>
33,196,243,248,74,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9908>>
33,201,243,248,74,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9830>>
33,201,243,248,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9c68>>
33,201,243,248,69,61,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9f80>>
33,196,243,248,69,61,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9ab8>>
33,201,243,248,69,61,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e98c0>>
33,201,243,248,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9fc8>>
33,201,243,243,69,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e97a0>>
33,201,243,243,64,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9e18>>
33,201,243,243,59,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9e60>>
33,206,243,243,59,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9878>>
33,206,238,243,59,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16eb0e0>>
33,206,238,243,59,71,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16eb1b8>>
33,206,233,243,59,71,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16eb170>>
33,206,233,243,59,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16eb2d8>>
33,206,233,243,64,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9dd0>>
28,206,233,243,64,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9488>>
28,206,233,238,64,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9b90>>
28,206,233,233,64,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9bd8>>
28,206,233,233,59,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16eb200>>
28,211,233,233,59,66,<bound method Antenna.function of <models.Antenna instance at 0x7f28d16e9ea8>>
