phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
113,257,56,230,54,54,-4.220923163079176,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,56,230,54,44,-4.2019708079884,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,44,-4.039148464945006,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,34,-4.00921914924839,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,24,-3.9488809325808476,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,14,-3.9674475394125657,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,4,-4.12717212241352,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,257,46,230,54,0,-3.976451551603969,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,267,46,230,54,0,-3.086854189740027,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,267,46,230,54,0,-3.086854189740027,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,267,46,230,64,0,-2.7569535574148696,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,267,46,230,64,0,-2.7569535574148696,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,267,46,230,64,0,-2.7569535574148696,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,267,46,230,64,0,-2.7569535574148696,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,267,46,220,64,0,-1.7059129400371291,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,267,46,220,64,0,-1.7059129400371291,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,267,46,220,64,0,-1.7059129400371291,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,277,46,220,64,0,-0.6857219807323518,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,277,46,220,74,0,-0.6090519595075792,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,277,46,220,74,0,-0.6090519595075792,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,287,46,220,74,0,0.44018975946667194,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,287,46,220,74,0,0.44018975946667194,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,287,46,220,74,0,0.44018975946667194,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,287,46,220,74,0,0.44018975946667194,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,297,46,220,74,0,1.527482231086342,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,297,46,220,64,0,1.609933071035405,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,307,46,220,64,0,2.7518529784563595,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,307,46,220,64,0,2.7518529784563595,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
113,317,46,220,64,0,3.800725862997744,"(array([113, 257,  46]), array([230,  54,  34]), -4.00921914924839, 0.8122499999999999)"
