phi1,phi2,phi3,theta1,theta2,theta3,result
265,231,143,198,158,317,4.688021970541713
265,231,143,203,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca3a70>>
265,231,148,203,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7440>>
260,231,148,203,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346d09c68>>
260,231,148,208,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7290>>
260,226,148,208,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca37a0>>
260,226,148,213,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca72d8>>
255,226,148,213,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca3ab8>>
255,226,148,213,163,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7488>>
255,226,153,213,163,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7560>>
255,226,153,213,163,322,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca76c8>>
255,226,153,213,158,322,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7200>>
255,221,153,213,158,322,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca73f8>>
255,221,153,218,158,322,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca3cb0>>
255,221,158,218,158,322,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7638>>
255,221,158,218,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca78c0>>
255,216,158,218,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca74d0>>
255,211,158,218,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca71b8>>
255,211,153,218,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7878>>
255,211,158,218,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca77a0>>
255,211,158,213,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7368>>
255,211,158,213,153,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7710>>
255,211,158,213,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7758>>
255,211,158,218,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca3e18>>
250,211,158,218,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7248>>
250,211,158,213,158,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7128>>
250,211,158,213,153,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7998>>
255,211,158,213,153,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346d09dd0>>
255,211,163,213,153,317,<bound method Antenna.function of <models.Antenna instance at 0x7f6346ca7ab8>>
