phi1,phi2,phi3,theta1,theta2,theta3,result
214,84,4,298,79,170,-2.0966828754621747
214,89,4,298,79,170,-1.6324936264121992
214,94,4,298,79,170,-1.1994266056232146
214,99,4,298,79,170,-0.8032970383896393
214,104,4,298,79,170,-0.4492087666265393
214,109,4,298,79,170,-0.14145595329265548
219,109,4,298,79,170,0.15195445768496063
219,114,4,298,79,170,0.40997003044841207
224,114,4,298,79,170,0.6353168119683604
224,119,4,298,79,170,0.8411512582168675
224,119,0,298,79,170,0.9966038605662122
229,119,0,298,79,170,1.1495470286952998
229,124,0,298,79,170,1.301761425808711
229,124,0,303,79,170,1.415105554492698
229,124,0,308,79,170,1.6025900392960488
229,124,0,313,79,170,1.860604091343585
229,124,0,318,79,170,2.184178583351259
229,124,0,323,79,170,2.5670817507159445
229,124,0,328,79,170,3.001939209906981
229,124,0,333,79,170,3.4803759827090675
229,124,0,338,79,170,3.9931777910526325
229,124,0,343,79,170,4.530468516032802
229,124,0,348,79,170,5.081900403409914
229,124,0,353,79,170,5.636853352398326
229,124,0,358,79,170,6.184639449613866
229,124,0,360,79,170,6.399374684217144
229,129,0,360,79,170,6.497562785303682
229,129,0,360,74,170,6.58301143304289
229,129,0,360,69,170,6.695215344652378
229,129,0,360,64,170,6.83465674038434
229,129,0,360,59,170,7.001293270125804
229,129,0,360,54,170,7.194558829025136
229,129,0,360,49,170,7.413374460181426
229,129,0,360,44,170,7.656169134420354
229,129,0,360,39,170,7.920910006956082
229,129,0,360,34,170,8.205141568222022
229,129,0,360,29,170,8.506032934859412
229,129,0,360,24,170,8.820432370080132
229,129,0,360,19,170,9.144927983388865
229,129,0,360,14,170,9.475913440640399
229,129,0,360,9,170,9.809657418913343
229,129,0,360,4,170,10.142375468559429
229,129,0,360,0,170,10.405278844988603
229,124,0,360,0,170,10.503368080678111
234,124,0,360,0,170,10.58096208239848
234,124,0,360,0,165,10.625192495056664
234,124,0,360,0,160,10.677481205505725
234,124,0,360,0,155,10.716532188655693
234,119,0,360,0,155,10.71833693637652
239,119,0,360,0,155,10.719087378386842
239,119,0,360,0,155,10.719087378386842
239,119,0,360,0,155,10.719087378386842
239,119,0,360,0,155,10.719087378386842
239,119,0,360,0,155,10.719087378386842
239,119,0,360,0,155,10.719087378386842
239,119,0,360,0,155,10.719087378386842
239,119,0,360,0,155,10.719087378386842
239,119,0,360,0,155,10.719087378386842
239,119,0,360,0,155,10.719087378386842
