phi1,phi2,phi3,theta1,theta2,theta3,result
76,12,29,95,195,63,0.7233108979647902
81,12,29,95,195,63,0.1967579816089145
81,12,29,95,200,63,0.03293603595466048
81,12,29,100,200,63,0.4499515332041227
81,12,29,100,200,58,0.7019381639160066
81,12,29,105,200,58,1.165662525498214
81,12,29,100,200,58,0.7019381639160066
81,12,29,100,205,58,0.46175692280346803
81,12,29,100,205,53,0.19513947941606724
81,12,34,100,205,53,0.277026675269767
81,12,34,95,205,53,-0.13998882197969523
81,12,34,95,205,58,-0.004585159187470045
81,12,34,90,205,58,-0.3668604346304011
81,12,29,90,205,58,-0.3175338498889252
81,12,29,95,205,58,0.04474142555400587
81,17,29,95,205,58,-0.0730565559848225
76,17,29,95,205,58,0.45349636037105323
76,17,29,90,205,58,0.09122108492812267
76,12,29,90,205,58,0.20901906646695104
76,12,29,90,200,58,0.4492003075794896
76,17,29,90,200,58,0.32233968894550313
76,17,24,90,200,58,0.21129849846394652
76,17,24,90,200,53,0.13444127852845403
71,17,24,90,200,53,0.6802550827811743
71,17,24,85,200,53,0.37969713733424604
71,17,24,90,200,53,0.6802550827811743
71,17,24,90,195,53,0.8372869894193858
71,17,24,90,190,53,0.9145784727049714
71,17,24,90,185,53,0.9080115381883106
71,17,19,90,185,53,1.0489642489075637
71,22,19,90,185,53,0.9065684804507795
66,22,19,90,185,53,1.4611312712321878
66,17,19,90,185,53,1.6035270396889718
66,17,19,95,185,53,1.9658023151319028
66,17,19,95,185,48,1.8071144613144354
71,17,19,95,185,48,1.2525516705330273
71,17,19,90,185,48,0.8902763950900963
71,17,24,90,185,48,1.029586371365696
71,17,24,90,185,43,0.8934293185191557
66,17,24,90,185,43,1.4479921093005639
66,17,24,90,190,43,1.4545590438172247
66,12,24,90,190,43,1.5925537152270821
66,7,24,90,190,43,1.7252042180466636
66,7,29,90,190,43,1.6723332818781274
66,12,29,90,190,43,1.539682779058546
66,12,29,90,190,48,1.7870606027751588
66,12,34,90,190,48,1.6916690556252814
66,12,34,95,190,48,2.0539443310682124
61,12,34,95,190,48,2.60657570910345
61,12,34,95,190,43,2.549766378700302
61,12,29,95,190,43,2.4545894325367144
61,12,29,95,195,43,2.3729539354913003
61,17,29,95,195,43,2.2393032778412714
61,22,29,95,195,43,2.097764338016849
61,22,24,95,195,43,2.1506352741853854
61,22,24,100,195,43,2.5676507714348475
61,27,24,100,195,43,2.4185034416329754
61,27,29,100,195,43,2.365632505464439
61,27,24,100,195,43,2.4185034416329754
61,27,19,100,195,43,2.553725661290382
61,22,19,100,195,43,2.702872991092254
61,22,19,100,195,48,2.564497848005788
