phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
263,215,244,164,58,72,4.4135247716894295,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
263,215,244,164,58,67,5.017071977351995,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
263,215,244,164,58,62,4.510969799566907,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
263,215,244,164,58,57,4.846647456909906,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
263,215,239,164,58,57,4.724632898643632,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
263,215,239,164,58,52,4.781205413974667,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
263,215,234,164,58,52,4.887028172594339,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
263,215,234,164,58,57,4.604153085788582,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
263,215,234,164,58,52,4.887028172594339,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
263,215,234,164,58,57,4.604153085788582,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
258,215,234,164,58,57,4.946825734296182,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
258,215,234,164,58,52,5.22970082110194,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
253,215,234,164,58,52,5.508613382047845,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,215,234,164,58,52,5.718394240958107,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,215,234,169,58,52,5.9217154668662175,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,210,234,169,58,52,6.078371086421993,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,205,234,169,58,52,6.28333587772637,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,200,234,169,58,52,6.530068892290477,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,195,234,169,58,52,6.8112247618034925,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,190,234,169,58,52,7.1187951635675715,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,185,234,169,58,52,7.444263053860316,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,180,234,169,58,52,7.7787666988238255,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,175,234,169,58,52,8.113270343787335,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,170,234,169,58,52,8.438738234080079,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,165,234,169,58,52,8.746308635844157,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,160,234,169,58,52,9.027464505357173,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,155,234,169,58,52,9.27419751992128,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,150,234,169,58,52,9.479162311225657,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,145,234,169,58,52,9.635817930781434,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,145,234,169,53,52,9.792583989520066,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,145,234,169,48,52,9.96669522287123,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,145,234,169,43,52,10.157008224099576,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,145,234,169,38,52,10.362067554446035,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,145,234,169,33,52,10.58013377361837,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,145,234,169,28,52,10.809216939905403,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,145,234,169,23,52,11.047114934731706,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,140,234,169,23,52,11.304829439218343,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,140,234,169,18,52,11.57741404853554,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,140,234,169,13,52,11.85450948520239,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,140,234,169,8,52,12.133176337370713,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,140,234,169,3,52,12.410444929090115,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,135,234,169,3,52,12.698182641091421,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,130,234,169,3,52,12.896060293702268,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
248,130,234,169,0,52,13.090244033573184,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
243,130,234,169,0,52,13.226852992708922,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
243,130,234,174,0,52,13.356706015616917,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
243,125,234,174,0,52,13.473975688751283,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
243,125,229,174,0,52,13.548821238678464,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,125,229,174,0,52,13.609627327746779,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,125,229,179,0,52,13.663511290845015,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,125,224,179,0,52,13.702042222034203,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,224,179,0,52,13.72310531201468,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
238,120,219,179,0,52,13.728652634002707,"(array([263, 215, 244]), array([164,  58,  57]), 4.846647456909906, 0.7716375)"
