phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
293,260,311,316,145,215,-5.332900866988756,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
293,260,311,316,145,210,-5.125321799595191,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
288,260,311,316,145,210,-4.571656812982377,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
283,260,311,316,145,210,-4.02886322312971,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
278,260,311,316,145,210,-3.5073947646905568,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
273,260,311,316,145,210,-3.0172944687480516,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
268,260,311,316,145,210,-2.5680012427305448,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,316,145,210,-2.168168085225606,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,321,145,210,-1.8081724920690294,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,326,145,210,-1.3931443660271343,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,331,145,210,-0.931076789524687,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,336,145,210,-0.43086878408106366,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,341,145,210,0.09784607714046613,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,346,145,210,0.6448852036122728,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,351,145,210,1.1997130953209916,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,356,145,210,1.7516442473774037,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
263,260,311,360,145,210,2.1839532256219902,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
258,260,311,360,145,210,2.526625874129591,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
253,260,311,360,145,210,2.805538435075497,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
248,260,311,360,145,210,3.015319293985759,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
248,260,306,360,145,210,3.209675451733261,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
248,260,306,360,140,210,3.3654483011536622,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
248,260,306,360,135,210,3.5402092028048164,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
248,260,306,360,130,210,3.728465294968225,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
248,260,306,360,125,210,3.9244638102386813,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
248,260,306,360,120,210,4.122302868844422,"(array([283, 260, 311]), array([316, 145, 210]), -4.02886322312971, nan)"
