phi1,phi2,phi3,theta1,theta2,theta3,result
13,31,81,231,247,233,5.393659452817691
13,31,76,231,247,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a128>>
13,26,76,231,247,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a368>>
13,21,76,231,247,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d36cb0>>
13,21,81,231,247,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a488>>
13,21,76,231,247,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a200>>
8,21,76,231,247,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a248>>
8,16,76,231,247,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d36e18>>
8,16,81,231,247,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a518>>
8,16,81,231,247,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a710>>
8,16,86,231,247,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a5a8>>
13,16,86,231,247,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d9bdd0>>
13,16,86,236,247,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a2d8>>
13,16,86,236,242,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a560>>
13,11,86,236,242,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a440>>
13,11,86,236,242,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a830>>
13,11,86,236,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a6c8>>
18,11,86,236,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d9bc68>>
13,11,86,236,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a290>>
13,11,91,236,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a7a0>>
13,11,91,241,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a3b0>>
8,11,91,241,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d36ab8>>
13,11,91,241,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d9bc20>>
13,11,91,241,242,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a680>>
13,11,91,236,242,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a638>>
13,11,96,236,242,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a9e0>>
13,11,101,236,242,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3aa28>>
13,11,101,236,242,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3ac20>>
13,6,101,236,242,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a878>>
13,6,101,231,242,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a170>>
13,6,101,226,242,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a758>>
13,6,101,226,237,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3aa70>>
13,6,106,226,237,228,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3abd8>>
13,6,106,226,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3ad40>>
8,6,106,226,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a3f8>>
8,6,106,226,232,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3ab00>>
8,6,101,226,232,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3ad88>>
8,6,101,226,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a950>>
8,6,96,226,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3ae18>>
8,6,96,221,237,233,<bound method Antenna.function of <models.Antenna instance at 0x7fc185d3a1b8>>
