phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
206,264,319,18,281,21,5.925702301209302,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,18,281,20,5.924033651134129,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,18,281,19,5.978973518188623,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,18,281,18,6.061677182434924,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,18,281,17,6.128045972094544,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,18,281,16,6.142174852996083,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,16,6.145028784325171,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,15,6.114550788346318,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,14,6.038984358820683,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,15,6.114550788346318,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,14,6.038984358820683,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,15,6.114550788346318,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,14,6.038984358820683,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,15,6.114550788346318,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,16,6.145028784325171,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,15,6.114550788346318,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,14,6.038984358820683,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,13,5.960507855694613,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,12,5.923518981999616,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,11,5.949262820342891,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,10,6.022951687336227,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,9,6.101540125608507,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,8,6.138529303129222,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,7,6.111725832298421,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,18,281,8,6.138529303129222,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,17,281,8,6.247455074520901,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,17,281,8,6.24394918207451,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,17,281,7,6.234093896518369,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,16,281,7,6.343586188137278,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,16,281,8,6.353441473693419,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,16,281,7,6.343586188137278,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,16,281,6,6.277772733184698,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,16,281,7,6.343586188137278,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,16,282,7,6.384191941095186,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,16,283,7,6.423082258590578,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,16,283,8,6.432937544146719,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,15,283,8,6.5429118766322105,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,15,283,8,6.546417769078602,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,14,283,8,6.6567892911488284,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,14,283,8,6.653283398702437,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,14,284,8,6.690443771947166,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,14,284,8,6.693949664393557,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,14,285,8,6.7293669193471635,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,14,285,8,6.728078295466539,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,14,285,8,6.7293669193471635,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,13,285,8,6.840050473266546,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,12,285,8,6.950960660549654,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,12,285,8,6.94967203666903,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,11,285,8,7.060723283970271,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,11,286,8,7.094385591504501,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,11,286,7,7.051912012062944,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,10,286,7,7.1630186372011115,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,9,286,7,7.2740949152679315,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,8,286,7,7.385055144769578,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,8,286,8,7.427528724211135,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,7,286,8,7.53828729319167,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,7,286,8,7.539575917072294,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,7,286,8,7.53828729319167,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,319,6,286,8,7.648758745287401,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,6,286,8,7.650047369168025,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,318,5,286,8,7.7601464695418265,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,5,286,8,7.756640577095435,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,5,286,7,7.746785291539295,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,4,286,7,7.856427092643994,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,3,286,7,7.965526999764094,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,2,286,7,8.074000836285302,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,1,286,7,8.181764908641421,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,1,286,8,8.191620194197561,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
206,264,317,0,286,8,8.298591356444721,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
207,264,317,0,286,8,8.380931508998504,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
208,264,317,0,286,8,8.461167973492106,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
209,264,317,0,286,8,8.53923884305409,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
209,264,317,0,287,8,8.571135728079721,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
210,264,317,0,287,8,8.646980766714943,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
211,264,317,0,287,8,8.72054145577997,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
212,264,317,0,287,8,8.791761039133439,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
213,264,317,0,287,8,8.860584566926565,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
214,264,317,0,287,8,8.926958937999993,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
215,264,317,0,287,8,8.990832940854276,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
216,264,317,0,287,8,9.05215729316238,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
217,264,317,0,287,8,9.110884679793731,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
218,264,317,0,287,8,9.166969789320444,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
219,264,317,0,287,8,9.22036934897761,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
220,264,317,0,287,8,9.27104215805062,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
221,264,317,0,287,8,9.318949119663802,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
222,264,317,0,287,8,9.364053270945817,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
223,264,317,0,287,8,9.40631981154856,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
224,264,317,0,287,8,9.445716130497559,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
224,264,317,0,288,8,9.475838480046495,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
225,264,317,0,288,8,9.512334180902076,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
225,263,317,0,288,8,9.541553314112049,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
226,263,317,0,288,8,9.575120238421881,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
227,263,317,0,288,8,9.605732487446765,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
227,263,317,0,289,8,9.634499466845543,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
227,262,317,0,289,8,9.66241214267672,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
228,262,317,0,289,8,9.69004609737291,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
228,262,317,0,290,8,9.717478022344366,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
228,261,317,0,290,8,9.744030506800645,"(array([206, 264, 319]), array([ 18, 281,  18]), 6.061677182434924, 0.8122499999999999)"
