phi1,phi2,phi3,theta1,theta2,theta3,result
347,161,154,346,42,166,4.959908022922776
347,161,154,346,42,161,6.148859492801152
347,161,159,346,42,161,7.341143531285163
347,161,164,346,42,161,8.465205428522282
347,161,169,346,42,161,9.490074799270307
347,161,169,346,42,156,10.689130779294022
347,161,174,346,42,156,11.595846714360938
347,161,174,351,42,156,12.150674606069657
347,161,174,356,42,156,12.70260575812607
347,161,174,360,42,156,13.134914736370657
347,161,179,360,42,156,13.544477530970308
347,156,179,360,42,156,13.877408468327008
347,151,179,360,42,156,14.16468721515334
347,146,179,360,42,156,14.398721008027872
347,146,179,360,37,156,14.601652505324715
347,146,179,360,32,156,14.816850988191668
347,146,179,360,27,156,15.042339031216786
347,141,179,360,27,156,15.292130997059143
347,141,179,360,22,156,15.553726486646873
347,141,179,360,17,156,15.821954391157016
347,141,179,360,12,156,16.094012193816333
347,141,179,360,7,156,16.36702361732871
347,136,179,360,7,156,16.65067382741983
347,136,179,360,2,156,16.948589120199813
347,131,179,360,2,156,17.16958531091666
347,126,179,360,2,156,17.297441559822726
347,126,179,360,0,156,17.433383660943623
342,126,179,360,0,156,17.5124635265827
337,126,179,360,0,156,17.66684892756176
332,126,179,360,0,156,17.89356653470676
327,126,179,360,0,156,18.188249963169675
322,126,179,360,0,156,18.545223865220763
317,126,179,360,0,156,18.957613232532758
312,126,179,360,0,156,19.41747580288971
307,126,179,360,0,156,19.915955021281768
302,126,179,360,0,156,20.443450609487705
297,126,179,360,0,156,20.989803459122655
292,126,179,360,0,156,21.544491287271036
287,126,179,360,0,156,22.096831286546546
282,126,179,360,0,156,22.636185866714513
277,126,179,360,0,156,23.152167525471004
272,126,179,360,0,156,23.634838902744935
267,126,179,360,0,156,24.07490416565043
262,126,179,360,0,156,24.463888038180965
257,126,179,360,0,156,24.794299027688336
252,126,179,360,0,156,25.059773704545815
247,126,179,360,0,156,25.255199256294055
242,126,179,360,0,156,25.376811955982966
237,126,179,360,0,156,25.422269648294588
237,121,179,360,0,156,25.462605226566275
237,121,179,360,0,156,25.462605226566275
237,121,179,360,0,156,25.462605226566275
237,121,179,360,0,156,25.462605226566275
237,121,179,360,0,156,25.462605226566275
237,121,179,360,0,156,25.462605226566275
237,121,179,360,0,156,25.462605226566275
237,121,179,360,0,156,25.462605226566275
237,121,179,360,0,156,25.462605226566275
237,121,179,360,0,156,25.462605226566275
