phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
344,48,89,34,51,150,-11.00587706868716,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,149,-11.059526327467411,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,148,-11.122527067500268,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,147,-11.194138641311522,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,146,-11.273231320639816,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,145,-11.358268330728677,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,146,-11.273231320639816,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,147,-11.194138641311522,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,146,-11.273231320639816,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,145,-11.358268330728677,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,144,-11.447304261739127,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,145,-11.358268330728677,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,144,-11.447304261739127,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,145,-11.358268330728677,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,146,-11.273231320639816,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,145,-11.358268330728677,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,144,-11.447304261739127,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,145,-11.358268330728677,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,144,-11.447304261739127,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,143,-11.538003591130877,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,144,-11.447304261739127,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,145,-11.358268330728677,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,146,-11.273231320639816,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,147,-11.194138641311522,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,89,34,51,146,-11.273231320639816,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,90,34,51,146,-11.193984126035506,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,90,34,51,145,-11.277131472759606,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,90,34,51,146,-11.193984126035506,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,90,34,51,145,-11.277131472759606,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,90,34,51,146,-11.193984126035506,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,48,91,34,51,146,-11.117195264744636,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,49,91,34,51,146,-11.005273944130876,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,50,91,34,51,146,-10.892033701541894,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,50,91,34,51,147,-10.821766903643745,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,51,91,34,51,147,-10.70727573539015,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,51,92,34,51,147,-10.640789594881822,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,51,92,34,51,148,-10.588822280618045,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,51,92,34,51,149,-10.548892962282727,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,51,92,34,51,150,-10.520949429689937,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,51,92,34,50,150,-10.489027160616272,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,52,92,34,50,150,-10.372991515567774,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,53,92,34,50,150,-10.255835158884633,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,54,92,34,50,150,-10.137629370332029,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,54,92,34,50,151,-10.121284107178926,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,55,92,34,50,151,-10.002100976216786,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,56,92,34,50,151,-9.882013346378779,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,57,92,34,50,151,-9.761094759069495,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,58,92,34,50,151,-9.639419396823186,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,58,92,34,50,152,-9.634011376927832,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,58,92,34,49,152,-9.59705811413795,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,59,92,34,49,152,-9.47430871496975,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,60,92,34,49,152,-9.350947932882614,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,60,92,34,48,152,-9.310945609041184,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,60,93,34,48,152,-9.300770413789415,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,61,93,34,48,152,-9.176492648723443,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,62,93,34,48,152,-9.051753102257383,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,62,93,34,47,152,-9.008795093812495,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,63,93,34,47,152,-8.883301657760144,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,63,93,34,47,151,-8.87816952950728,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,64,93,34,47,151,-8.75236768665545,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,65,93,34,47,151,-8.626336260722416,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,66,93,34,47,151,-8.500154252562492,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,67,93,34,47,151,-8.37390077921252,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,68,93,34,47,151,-8.247655012848686,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
344,69,93,34,47,151,-8.121496119700806,"(array([344,  48,  89]), array([ 34,  51, 147]), -11.194138641311522, 0.8122499999999999)"
